,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_home
563,28,0,0.0,2.0,1.2,1.7,55.0,10,9.0,5.0,12.0,0.0,0.0,0.0,0,1,14,6,0.6666666666666666,3.333333333333333,7.666666666666667,1.6666666666666667,20.8,0.3333333333333333,0.0,0.0,6,1,0
564,29,1,0.0,2.0,0.6,2.2,41.0,17,13.0,5.0,19.9,1.0,0.0,0.0,1,13,20,3,0.6666666666666666,2.6666666666666665,9.666666666666666,3.333333333333333,15.133333333333336,0.3333333333333333,0.0,0.0,6,1,0
565,30,0,0.0,2.0,0.4,1.5,47.0,17,7.0,3.0,19.7,1.0,0.0,0.0,0,19,20,0,0.6666666666666666,2.333333333333333,11.666666666666666,4.666666666666667,16.566666666666666,0.3333333333333333,0.0,0.0,6,1,0
566,31,1,1.0,1.0,0.8,0.3,48.0,17,13.0,2.0,13.8,0.0,0.0,0.0,1,17,16,6,0.0,2.0,9.666666666666666,4.333333333333333,17.2,0.6666666666666666,0.0,0.0,6,0,0
567,0,1,1.0,0.0,1.1,0.9,31.0,17,5.0,3.0,10.6,0.0,0.0,0.0,1,16,15,5,0.3333333333333333,1.6666666666666667,11.0,3.333333333333333,17.8,0.6666666666666666,0.0,0.0,6,0,1
568,11,0,3.0,1.0,1.6,1.2,25.0,17,13.0,4.0,18.6,0.0,1.0,1.0,0,13,17,5,0.6666666666666666,1.0,8.333333333333334,2.6666666666666665,14.7,0.3333333333333333,0.0,0.0,6,0,1
569,22,1,1.0,2.0,0.4,1.9,42.0,17,8.0,1.0,18.3,0.0,0.0,0.0,1,7,15,5,1.6666666666666667,0.6666666666666666,10.333333333333334,3.0,14.333333333333334,0.0,0.3333333333333333,0.3333333333333333,6,1,0
570,32,0,0.0,4.0,0.2,2.7,30.0,17,4.0,0.0,22.5,0.0,0.0,0.0,0,5,12,5,1.6666666666666667,1.0,8.666666666666666,2.6666666666666665,15.833333333333334,0.0,0.3333333333333333,0.3333333333333333,6,1,0
572,1,1,0.0,2.0,0.6,1.3,57.0,17,12.0,3.0,17.0,1.0,0.0,0.0,1,14,20,4,2.0,1.3333333333333333,11.666666666666666,6.0,16.133333333333336,1.3333333333333333,0.0,0.0,6,1,0
573,3,1,1.0,1.0,1.6,0.9,44.0,17,16.0,5.0,16.0,2.0,0.0,0.0,1,17,14,6,1.3333333333333333,1.6666666666666667,11.0,3.6666666666666665,17.833333333333332,1.3333333333333333,0.0,0.0,6,0,0
