,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
641,19,0,2.0,2.0,2.7,0.9,62.0,12,15.0,3.0,16.0,0.0,0.0,0.0,2022-01-01,0,9,15,5,1.6666666666666667,0.6666666666666666,19.0,7.333333333333333,15.166666666666664,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,0,1,0
642,36,1,1.0,0.0,0.6,1.1,57.0,12,11.0,5.0,20.5,1.0,0.0,0.0,2022-01-01,1,6,19,2,2.0,1.0,18.33333333333333,6.0,15.966666666666663,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,0,0,1
643,21,1,3.0,3.0,4.2,1.6,72.0,12,32.0,13.0,16.7,1.0,1.0,1.0,2022-01-01,1,3,15,5,2.333333333333333,0.6666666666666666,15.0,5.333333333333333,17.599999999999998,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,0,1,0
644,35,0,2.0,0.0,2.7,1.7,63.0,12,16.0,6.0,16.9,0.0,0.0,0.0,2022-01-01,0,2,19,1,2.0,1.6666666666666667,19.33333333333333,7.0,17.73333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,0,0,1
645,23,0,1.0,2.0,1.4,0.8,65.0,12,17.0,4.0,16.4,0.0,0.0,0.0,2022-01-01,0,17,15,5,2.0,1.0,19.666666666666668,8.0,18.03333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,1,0,0
646,24,0,2.0,1.0,2.9,0.5,57.0,12,26.0,10.0,17.2,0.0,0.0,0.0,2022-01-01,0,5,15,5,2.0,1.6666666666666667,21.666666666666668,7.666666666666667,16.66666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,0,0,1
794,0,0,1.0,0.0,1.5,0.7,62.0,4,14.0,5.0,16.1,1.0,1.0,1.0,2022-01-01,0,7,17,5,2.0,1.0,18.33333333333333,5.0,18.36666666666667,1.3333333333333333,0.3333333333333333,0.3333333333333333,5,0,0,1
795,11,1,2.0,2.0,1.6,1.0,63.0,7,16.0,3.0,17.2,0.0,0.0,0.0,2022-01-01,1,17,16,6,1.6666666666666667,0.3333333333333333,17.0,5.0,17.666666666666668,1.0,0.3333333333333333,0.3333333333333333,5,0,1,0
796,22,0,0.0,3.0,0.9,2.1,61.0,7,14.0,3.0,19.8,0.0,0.0,0.0,2022-01-01,0,9,14,6,1.3333333333333333,1.0,16.666666666666668,5.0,17.76666666666667,1.0,0.3333333333333333,0.3333333333333333,5,1,0,0
797,32,1,2.0,1.0,1.8,2.5,45.0,17,7.0,4.0,14.6,0.0,0.0,0.0,2022-01-01,1,10,15,5,1.0,1.6666666666666667,14.666666666666666,3.6666666666666665,17.700000000000003,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,0,0,1
798,33,0,1.0,2.0,1.1,1.1,67.0,11,10.0,4.0,14.5,0.0,0.0,0.0,2022-01-01,0,16,19,1,1.3333333333333333,2.0,12.333333333333334,3.333333333333333,17.2,0.0,0.0,0.0,5,1,0,0
799,34,1,2.0,1.0,0.9,1.1,67.0,0,8.0,3.0,17.2,0.0,0.0,0.0,2022-01-01,1,18,15,5,1.0,2.0,10.333333333333334,3.6666666666666665,16.3,0.0,0.0,0.0,5,0,0,1
800,37,0,2.0,1.0,1.1,0.4,64.0,11,13.0,3.0,14.8,0.0,0.0,0.0,2022-01-01,0,6,15,5,1.6666666666666667,1.3333333333333333,8.333333333333334,3.6666666666666665,15.433333333333335,0.0,0.0,0.0,5,0,0,1
801,1,1,3.0,0.0,1.9,1.1,57.0,12,20.0,7.0,14.7,0.0,0.0,0.0,2022-01-01,1,19,15,5,1.6666666666666667,1.3333333333333333,10.333333333333334,3.333333333333333,15.500000000000002,0.0,0.0,0.0,5,0,0,1
802,2,0,2.0,0.0,0.9,1.8,58.0,4,8.0,4.0,18.0,1.0,0.0,0.0,2022-01-01,0,1,14,6,2.333333333333333,0.6666666666666666,13.666666666666666,4.333333333333333,15.566666666666668,0.0,0.0,0.0,5,0,0,1
803,3,0,0.0,0.0,0.9,1.3,66.0,6,14.0,5.0,21.4,0.0,0.0,0.0,2022-01-01,0,3,19,2,2.333333333333333,0.3333333333333333,13.666666666666666,4.666666666666667,15.833333333333336,0.3333333333333333,0.0,0.0,5,0,1,0
804,4,1,1.0,1.0,1.1,0.8,48.0,4,5.0,1.0,19.7,0.0,1.0,1.0,2022-01-01,1,13,17,5,1.6666666666666667,0.0,14.0,5.333333333333333,18.03333333333333,0.3333333333333333,0.0,0.0,5,0,1,0
805,5,0,1.0,4.0,1.4,2.4,59.0,4,15.0,7.0,18.3,0.0,0.0,0.0,2022-01-01,0,4,15,5,1.0,0.3333333333333333,9.0,3.333333333333333,19.700000000000003,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,1,0,0
806,6,1,0.0,1.0,0.3,2.1,45.0,12,5.0,1.0,16.0,0.0,0.0,0.0,2022-01-01,1,0,12,6,0.6666666666666666,1.6666666666666667,11.333333333333334,4.333333333333333,19.8,0.0,0.3333333333333333,0.3333333333333333,5,1,0,0
807,7,0,0.0,1.0,0.3,1.0,51.0,4,5.0,2.0,14.0,0.0,0.0,0.0,2022-01-01,0,14,17,5,0.6666666666666666,2.0,8.333333333333334,3.0,18.000000000000004,0.0,0.3333333333333333,0.3333333333333333,5,1,0,0
808,8,1,2.0,0.0,1.8,0.5,60.0,15,15.0,5.0,15.7,0.0,0.0,0.0,2022-01-01,1,2,17,1,0.3333333333333333,2.0,8.333333333333334,3.333333333333333,16.100000000000005,0.0,0.0,0.0,5,0,0,1
809,9,0,1.0,1.0,0.9,1.4,71.0,15,7.0,2.0,11.6,0.0,0.0,0.0,2022-01-01,0,15,16,6,0.6666666666666666,0.6666666666666666,8.333333333333334,2.6666666666666665,15.233333333333336,0.0,0.0,0.0,5,0,1,0
810,10,1,0.0,1.0,0.4,2.1,48.0,12,8.0,2.0,17.2,0.0,0.0,0.0,2022-01-01,1,12,20,3,1.0,0.6666666666666666,9.0,3.0,13.766666666666673,0.0,0.0,0.0,5,1,0,0
