,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
292,10,2.0,2.0,1.6,1.4,62.0,12,14.0,5.0,14.0,0.0,0.0,0.0,1,18,19,2,9,0,0,1
293,12,1.0,2.0,2.4,1.2,48.0,12,16.0,3.0,12.7,0.0,0.0,0.0,0,1,20,4,9,0,1,0
294,13,0.0,0.0,0.5,0.4,58.0,12,9.0,5.0,23.2,1.0,0.0,0.0,1,3,14,6,9,0,0,1
295,14,0.0,1.0,0.9,0.4,70.0,12,10.0,4.0,17.1,0.0,0.0,0.0,0,15,14,6,9,0,1,0
296,36,2.0,2.0,0.6,2.0,34.0,12,8.0,2.0,18.4,1.0,0.0,0.0,0,13,20,2,9,0,0,1
297,15,0.0,2.0,1.8,1.1,34.0,12,16.0,6.0,11.6,0.0,0.0,0.0,1,13,14,6,9,0,1,0
298,16,0.0,1.0,0.5,1.4,49.0,12,8.0,0.0,18.4,0.0,0.0,0.0,0,7,15,5,9,0,1,0
299,17,1.0,0.0,0.9,0.4,61.0,12,14.0,4.0,16.2,0.0,0.0,0.0,1,16,15,5,9,1,0,0
300,18,0.0,1.0,1.0,1.5,43.0,12,11.0,2.0,13.7,1.0,0.0,0.0,0,5,15,5,9,0,1,0
301,19,2.0,2.0,0.9,2.7,38.0,12,12.0,4.0,19.7,0.0,0.0,0.0,1,4,15,5,9,0,0,1
302,20,4.0,2.0,1.6,2.7,35.0,12,11.0,4.0,17.7,2.0,0.0,0.0,0,19,15,5,9,1,0,0
303,21,1.0,4.0,0.7,3.8,34.0,15,7.0,5.0,14.3,0.0,0.0,0.0,0,0,15,5,9,0,1,0
304,35,2.0,1.0,1.8,0.8,61.0,12,21.0,6.0,17.3,0.0,0.0,0.0,1,15,19,1,9,1,0,0
305,23,1.0,5.0,0.9,3.0,48.0,12,11.0,7.0,16.7,1.0,0.0,0.0,1,6,14,6,9,0,1,0
306,24,1.0,6.0,1.4,2.7,27.0,12,13.0,3.0,17.6,0.0,0.0,0.0,1,11,20,0,9,0,1,0
307,0,2.0,2.0,0.6,0.8,56.0,6,14.0,5.0,23.1,0.0,0.0,0.0,1,3,14,6,10,0,0,1
308,11,2.0,4.0,0.5,2.7,50.0,6,6.0,2.0,14.6,0.0,0.0,0.0,0,0,15,5,10,0,1,0
309,22,1.0,2.0,0.3,0.9,62.0,10,6.0,1.0,17.8,1.0,0.0,0.0,1,16,15,5,10,0,1,0
310,32,1.0,2.0,2.5,1.8,55.0,10,17.0,5.0,17.9,0.0,0.0,0.0,0,5,15,5,10,0,1,0
