,round,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,home_code,target_home,target_away,target_draw
888,3,3.0,0.0,1.5,0.9,54.0,4,15.0,6.0,16.3,0.0,0.0,0.0,1,4,19,6,10,1,0,0
889,4,0.0,2.0,0.8,1.4,61.0,12,14.0,2.0,20.5,0.0,0.0,0.0,1,7,18,2,10,0,1,0
890,5,2.0,0.0,1.7,0.7,44.0,12,16.0,3.0,18.6,0.0,1.0,1.0,0,17,14,6,10,1,0,0
891,6,2.0,2.0,0.9,1.7,54.0,12,10.0,2.0,17.6,1.0,0.0,0.0,1,13,12,5,10,0,0,1
892,7,1.0,1.0,1.9,0.5,66.0,12,16.0,2.0,20.4,2.0,0.0,1.0,0,6,15,0,10,0,0,1
893,8,2.0,1.0,0.6,0.5,56.0,12,9.0,3.0,20.2,0.0,0.0,0.0,0,14,14,6,10,1,0,0
894,10,2.0,0.0,2.2,0.6,47.0,12,16.0,4.0,15.1,0.0,0.0,0.0,1,16,20,5,10,1,0,0
895,9,2.0,0.0,1.4,0.7,36.0,10,8.0,6.0,17.1,0.0,0.0,0.0,1,5,20,1,10,1,0,0
896,12,1.0,1.0,1.2,0.5,65.0,12,19.0,6.0,21.4,2.0,0.0,0.0,0,7,20,2,10,0,0,1
897,13,1.0,3.0,1.8,2.1,51.0,12,18.0,8.0,19.3,1.0,0.0,0.0,1,9,14,6,10,0,1,0
898,14,2.0,0.0,1.4,0.6,43.0,12,9.0,5.0,15.6,0.0,0.0,0.0,0,8,18,2,10,1,0,0
899,15,0.0,0.0,0.8,1.1,56.0,12,13.0,3.0,19.8,1.0,0.0,0.0,0,19,14,6,10,0,0,1
900,16,3.0,1.0,1.9,1.7,38.0,12,11.0,6.0,18.4,1.0,0.0,0.0,1,11,12,5,10,1,0,0
901,17,2.0,1.0,1.1,1.4,49.0,12,16.0,7.0,20.7,1.0,0.0,0.0,0,1,14,6,10,1,0,0
902,18,1.0,3.0,0.4,2.3,44.0,17,8.0,3.0,18.1,0.0,0.0,0.0,1,0,12,6,10,0,1,0
903,19,2.0,1.0,0.9,0.8,63.0,0,8.0,4.0,17.1,0.0,0.0,0.0,0,4,20,5,10,1,0,0
904,23,0.0,2.0,0.3,1.4,44.0,7,5.0,2.0,19.3,0.0,0.0,0.0,1,12,17,5,10,0,1,0
905,24,2.0,3.0,0.9,0.8,63.0,7,15.0,4.0,16.2,0.0,0.0,0.0,0,18,14,6,10,0,1,0
906,26,2.0,1.0,1.5,0.7,66.0,3,13.0,5.0,17.0,1.0,0.0,0.0,1,6,20,0,10,1,0,0
907,27,1.0,1.0,1.9,0.9,70.0,3,23.0,9.0,18.6,1.0,0.0,0.0,0,16,20,4,10,0,0,1
908,28,2.0,4.0,2.2,2.7,68.0,3,25.0,9.0,16.2,1.0,0.0,0.0,1,14,20,4,10,0,1,0
909,29,2.0,1.0,0.9,0.2,47.0,17,12.0,3.0,20.3,1.0,0.0,0.0,0,13,18,1,10,1,0,0
910,30,1.0,2.0,0.8,3.1,42.0,4,7.0,3.0,19.0,0.0,0.0,0.0,0,5,20,1,10,0,1,0
911,31,2.0,4.0,1.9,1.5,47.0,17,8.0,4.0,22.6,0.0,2.0,2.0,1,17,16,6,10,0,1,0
912,34,3.0,2.0,1.7,2.8,55.0,15,23.0,6.0,18.2,1.0,0.0,0.0,0,10,17,5,11,1,0,0
913,35,1.0,1.0,1.3,0.3,67.0,15,17.0,2.0,17.8,1.0,0.0,0.0,0,14,16,6,11,0,0,1
914,36,0.0,0.0,1.5,0.2,62.0,15,19.0,5.0,17.9,0.0,0.0,0.0,1,13,12,5,11,0,0,1
915,37,1.0,4.0,0.6,2.0,63.0,15,12.0,7.0,20.5,0.0,0.0,0.0,0,17,16,6,11,0,1,0
916,2,4.0,1.0,2.7,1.2,52.0,11,15.0,7.0,15.0,0.0,0.0,0.0,0,18,17,5,11,1,0,0
917,3,3.0,0.0,2.0,0.4,61.0,15,21.0,8.0,19.3,1.0,0.0,0.0,1,16,15,5,11,1,0,0
918,4,1.0,1.0,1.2,0.8,53.0,15,16.0,4.0,18.3,1.0,0.0,0.0,1,5,17,5,11,0,0,1
919,6,5.0,1.0,1.8,1.7,57.0,6,12.0,6.0,15.9,2.0,0.0,0.0,0,4,15,5,11,1,0,0
920,7,1.0,1.0,1.6,0.9,79.0,15,23.0,3.0,20.6,1.0,0.0,0.0,1,7,14,6,11,0,0,1
921,9,4.0,0.0,2.5,0.6,56.0,15,21.0,7.0,15.9,1.0,0.0,0.0,0,2,16,6,11,1,0,0
922,10,3.0,3.0,2.0,1.2,46.0,12,14.0,9.0,14.1,0.0,0.0,0.0,0,0,19,4,11,0,0,1
923,13,2.0,1.0,2.9,0.7,61.0,15,18.0,6.0,16.7,0.0,0.0,0.0,1,10,15,5,11,1,0,0
