,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_home
94,11,1,4.0,0.0,1.6,0.9,34.0,19,13.0,7.0,18.6,1.0,0.0,0.0,1,13,17,5,2.0,2.0,13.333333333333334,4.666666666666667,16.266666666666666,0.3333333333333333,0.0,0.0,3,0,1
95,22,0,2.0,3.0,1.8,2.4,57.0,15,13.0,5.0,14.1,0.0,0.0,0.0,0,8,15,5,2.333333333333333,1.3333333333333333,11.666666666666666,5.0,16.433333333333334,0.3333333333333333,0.0,0.0,3,1,0
96,32,1,1.0,1.0,2.1,1.1,58.0,15,20.0,5.0,14.8,0.0,0.0,0.0,1,7,15,5,2.6666666666666665,1.6666666666666667,11.333333333333334,5.0,16.566666666666666,0.3333333333333333,0.0,0.0,3,0,0
97,33,0,1.0,1.0,1.4,1.0,51.0,15,9.0,3.0,10.7,0.0,0.0,0.0,0,6,19,1,2.333333333333333,1.3333333333333333,15.333333333333334,5.666666666666667,15.833333333333336,0.3333333333333333,0.0,0.0,3,0,0
98,34,1,5.0,2.0,2.3,1.7,32.0,15,13.0,7.0,18.8,2.0,1.0,1.0,1,9,15,5,1.3333333333333333,1.6666666666666667,14.0,4.333333333333333,13.2,0.0,0.0,0.0,3,0,1
99,36,1,0.0,3.0,0.5,1.5,37.0,7,5.0,2.0,13.9,1.0,0.0,0.0,1,0,12,6,2.333333333333333,1.3333333333333333,14.0,5.0,14.766666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,1,0
100,37,0,0.0,0.0,0.9,0.4,58.0,15,13.0,4.0,15.2,1.0,0.0,0.0,0,2,15,5,2.0,2.0,9.0,4.0,14.466666666666669,1.0,0.3333333333333333,0.3333333333333333,3,0,0
101,1,0,1.0,5.0,1.2,1.5,46.0,7,5.0,2.0,18.2,0.0,1.0,1.0,0,14,15,5,1.6666666666666667,1.6666666666666667,10.333333333333334,4.333333333333333,15.966666666666669,1.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,0
102,2,1,2.0,0.0,1.5,1.9,28.0,15,6.0,1.0,16.3,0.0,1.0,1.0,1,4,20,4,0.3333333333333333,2.6666666666666665,7.666666666666667,2.6666666666666665,15.766666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,0,1
103,3,1,0.0,0.0,1.3,0.9,34.0,7,8.0,5.0,14.5,0.0,0.0,0.0,1,5,19,2,1.0,1.6666666666666667,8.0,2.333333333333333,16.566666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,3,0,0
