,round,venue,gf,ga,xg,xga,poss,formation,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling,home_code,target_away,target_draw,target_home
355,35,1,2.0,2.0,1.9,1.6,50.0,17,13.0,5.0,11.7,0.0,0.0,0.0,2019-01-01,1,18,15,5,2.333333333333333,1.6666666666666667,9.0,3.6666666666666665,20.0,1.3333333333333333,0.0,0.0,2,0,1,0
356,36,0,0.0,1.0,0.6,1.2,47.0,17,10.0,2.0,19.4,0.0,0.0,0.0,2019-01-01,0,0,14,6,2.6666666666666665,1.3333333333333333,10.666666666666666,4.666666666666667,16.8,1.3333333333333333,0.0,0.0,2,1,0,0
357,2,1,1.0,0.0,1.9,0.8,43.0,17,13.0,6.0,16.8,1.0,0.0,0.0,2019-01-01,1,13,12,5,1.6666666666666667,1.3333333333333333,9.666666666666666,3.333333333333333,16.966666666666665,0.3333333333333333,0.0,0.0,2,0,0,1
358,3,0,1.0,2.0,1.8,2.4,65.0,17,16.0,4.0,17.0,1.0,0.0,0.0,2019-01-01,0,14,15,5,1.0,1.0,12.0,4.333333333333333,15.966666666666663,0.3333333333333333,0.0,0.0,2,1,0,0
359,4,1,1.0,2.0,0.6,1.1,47.0,4,9.0,2.0,14.6,0.0,0.0,0.0,2019-01-01,1,19,15,5,0.6666666666666666,1.0,13.0,4.0,17.73333333333333,0.6666666666666666,0.0,0.0,2,1,0,0
360,5,0,2.0,3.0,1.1,2.3,48.0,17,20.0,6.0,19.2,1.0,0.0,0.0,2019-01-01,0,17,15,5,1.0,1.3333333333333333,12.666666666666666,4.0,16.133333333333333,0.6666666666666666,0.0,0.0,2,1,0,0
361,6,0,0.0,1.0,0.4,0.3,68.0,17,6.0,3.0,17.5,0.0,0.0,0.0,2019-01-01,0,6,19,1,1.3333333333333333,2.333333333333333,15.0,4.0,16.933333333333334,0.6666666666666666,0.0,0.0,2,1,0,0
362,7,1,0.0,3.0,0.1,2.4,27.0,17,3.0,0.0,15.6,0.0,0.0,0.0,2019-01-01,1,11,15,5,1.0,2.0,11.666666666666666,3.6666666666666665,17.099999999999998,0.3333333333333333,0.0,0.0,2,1,0,0
363,8,0,1.0,0.0,1.0,2.1,34.0,18,11.0,2.0,11.6,0.0,0.0,0.0,2019-01-01,0,5,15,5,0.6666666666666666,2.333333333333333,9.666666666666666,3.0,17.433333333333334,0.3333333333333333,0.0,0.0,2,0,0,1
364,10,1,1.0,1.0,2.0,1.4,40.0,18,12.0,4.0,15.0,1.0,0.0,0.0,2019-01-01,1,0,15,3,0.3333333333333333,1.3333333333333333,6.666666666666667,1.6666666666666667,14.9,0.0,0.0,0.0,2,0,1,0
365,12,0,0.0,2.0,0.5,0.8,45.0,17,10.0,2.0,18.9,0.0,0.0,0.0,2019-01-01,0,4,12,5,0.6666666666666666,1.3333333333333333,8.666666666666666,2.0,14.066666666666668,0.3333333333333333,0.0,0.0,2,1,0,0
366,13,0,0.0,4.0,0.6,2.4,57.0,15,3.0,2.0,13.1,0.0,0.0,0.0,2019-01-01,0,18,17,2,0.6666666666666666,1.0,11.0,2.6666666666666665,15.166666666666666,0.3333333333333333,0.0,0.0,2,1,0,0
367,16,1,3.0,1.0,1.4,1.8,34.0,16,11.0,3.0,16.2,0.0,0.0,0.0,2019-01-01,1,4,19,1,0.3333333333333333,2.333333333333333,8.333333333333334,2.6666666666666665,15.666666666666666,0.3333333333333333,0.0,0.0,2,0,0,1
